item,price,volume_l,se_l,se_l_stated_variance,unit_price_per_l
A1,98,22.021119,0.262166,0.188697,4.450273
A2,108,14.457811,0.232703,0.167491,7.470011
A3,82,8.454917,0.266715,0.191971,9.698499
A4,34,23.950559,0.227092,0.163452,1.419591
A5,52,16.608708,0.241776,0.174021,3.130888
A6,109,0.375677,0.28675,0.206391,290.143196
A7,29,8.833332,0.26151,0.188225,3.283019
A8,54,3.54618,0.26481,0.190599,15.227652
A9,64,0.95934,0.252261,0.181567,66.712528
A10,76,14.540566,0.286814,0.206437,5.226756
A11,83,22.778234,0.234276,0.168623,3.643829
A12,101,14.964041,0.241252,0.173644,6.749514
A13,108,21.542999,0.241151,0.173571,5.01323
A14,119,29.669818,0.276983,0.199361,4.01081
A15,58,11.036598,0.261775,0.188415,5.255243
A16,21,15.95782,0.269156,0.193728,1.315969
A17,35,6.864389,0.270733,0.194863,5.098779
A18,60,8.352695,0.242329,0.174419,7.18331
A19,98,15.184086,0.268528,0.193276,6.454126
A20,64,22.104819,0.270629,0.194788,2.895296
A21,71,26.435365,0.259146,0.186523,2.685796
A22,34,25.803031,0.236269,0.170057,1.317675
A23,91,7.271239,0.238401,0.171592,12.515061
A24,104,25.775827,0.249326,0.179455,4.034788
A25,73,9.482042,0.245679,0.17683,7.698764
A26,94,20.583395,0.262971,0.189276,4.566788
A27,39,7.515408,0.237973,0.171284,5.189339
A28,52,6.832125,0.248682,0.178991,7.611102
A29,99,20.850503,0.242009,0.174188,4.748087
A30,26,19.326639,0.244505,0.175985,1.345293
A31,45,6.875683,0.267874,0.192805,6.544805
A32,80,0.921825,0.231632,0.16672,86.784388
A33,53,5.946422,0.249225,0.179382,8.912923
A34,116,13.246744,0.24637,0.177328,8.756869
A35,86,4.975683,0.240171,0.172866,17.284058
A36,27,25.116053,0.268058,0.192938,1.07501
A37,115,12.500113,0.238361,0.171562,9.199917
A38,116,9.898305,0.241586,0.173884,11.719178
A39,31,1.555414,0.2397,0.172527,19.930381
A40,114,10.532179,0.251161,0.180776,10.823971
A41,107,23.033278,0.238446,0.171624,4.645452
A42,62,11.566374,0.262521,0.188952,5.360366
A43,21,5.005752,0.27399,0.197207,4.195174
A44,76,4.811485,0.253584,0.182519,15.795538
A45,87,22.438589,0.241995,0.174179,3.877249
A46,91,17.582178,0.255327,0.183774,5.175696
A47,30,26.03734,0.227508,0.163751,1.152191
A48,81,7.212603,0.25144,0.180977,11.230343
A49,119,11.176684,0.26429,0.190226,10.647165
A50,64,11.384899,0.236403,0.170153,5.621482
A51,29,26.995127,0.257009,0.184985,1.074268
A52,62,23.010644,0.27015,0.194443,2.694405
A53,44,5.623208,0.246942,0.177739,7.824714
A54,94,11.655423,0.228268,0.164298,8.064915
A55,101,16.508915,0.259221,0.186577,6.117906
A56,94,10.44152,0.254573,0.183232,9.002521
A57,27,18.703329,0.267033,0.1922,1.443593
A58,51,25.492607,0.26615,0.191564,2.00058
A59,113,16.19379,0.247334,0.178022,6.977984
A60,76,12.355445,0.248751,0.179041,6.151134
